categoria,sku,slug,nombre,marca,descripcion_corta,precio,precio_antes,disponibilidad,garantia_meses,destacado,activo,categorias,medida,potencia_rms_w,impedancia_ohm,bobinas,profundidad_mm,sensibilidad_db,configuracion,canales,clase,formato,pantalla_pulg,carplay,android_auto,salidas_preamp_pares,salidas_preamp_voltaje,tipo_ecualizador,bandas,espesor_mm,cobertura_m2,material_insono,calibre_awg,material_conductor,capacidad_w,tipo_accesorio,longitud_m,spec_1_etiqueta,spec_1_valor,spec_2_etiqueta,spec_2_valor,spec_3_etiqueta,spec_3_valor,spec_4_etiqueta,spec_4_valor,spec_5_etiqueta,spec_5_valor,spec_6_etiqueta,spec_6_valor,spec_7_etiqueta,spec_7_valor,spec_8_etiqueta,spec_8_valor,spec_9_etiqueta,spec_9_valor,spec_10_etiqueta,spec_10_valor
Accesorios,ANL1,cerwin-vega-anl1,Portafusible tipo ANL,Cerwin Vega,Portafusible tipo ANL para la línea principal de corriente,100,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,portafusible,,Aplicación,"Protección de la línea principal de corriente, a menos de 45 cm de la batería",Compatibilidad,Fusibles ANL,Serie,Vega,,,,,,,,,,,,,,
Accesorios,ANLFB,memphis-anlfb,Portafusible tipo ANL ANLFB,Memphis,Portafusible tipo ANL para la línea principal de corriente,300,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,portafusible,,Aplicación,Protege la línea principal de corriente; se instala a menos de 45 cm de la batería,Compatibilidad,Fusibles tipo ANL,Línea,Memphis Connection,,,,,,,,,,,,,,
Accesorios,CFANL200,cerwin-vega-cfanl200,Fusible tipo ANL,Cerwin Vega,Fusible tipo ANL de 200 amperios para portafusible ANL,40,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,portafusible,,Aplicación,Protección de la línea principal de corriente,Amperaje,200 A,Compatibilidad,Portafusibles ANL de Cerwin Vega,,,,,,,,,,,,,,
Accesorios,CVM0,cerwin-vega-cvm0,Realzador digital de graves CVM0,Cerwin Vega,Procesador digital de graves y ecualizador para realzar la respuesta de bajos,750,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Aplicación,Refuerzo y ajuste de la respuesta de bajos del sistema,Instalación,En línea entre la fuente y el amplificador,Serie,Vega,,,,,,,,,,,,,,
Accesorios,CX23,memphis-cx23,Crossover pasivo CX23,Memphis,Crossover pasivo de 2 vías para dividir la señal entre medio y tweeter,1600,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,otro,,Vías,2 vías: medio y tweeter,Instalación,En línea entre el amplificador y las bocinas,Función,Envía a cada bocina solo el rango de frecuencia que le corresponde,,,,,,,,,,,,,,
Accesorios,DB124,cerwin-vega-db124,Bloque distribuidor de una entrada calibre 0 a dos salidas caibre 4 DB124,Cerwin Vega,"Bloque distribuidor con una entrada calibre 1/0 y dos salidas calibre 4, con reductores para calibre 4 y 8",150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,distribuidor,,Aplicación,Repartir la corriente a dos amplificadores desde una sola línea principal,Entrada,"Una de calibre 1/0, con reductor incluido para calibre 4",Salidas,"Dos de calibre 4, con reductores incluidos para calibre 8",Ventaja,Los reductores permiten usar el mismo bloque con distintos calibres de cable,,,,,,,,,,,,
Accesorios,DB148,cerwin-vega-db148,Bloque distribuidor de una entrada calibre 4 a dos salidas caibre 8 DB148,Cerwin Vega,Bloque distribuidor de corriente con entrada calibre 1 a 4 y salidas calibre 4 a 8,80,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,distribuidor,,Aplicación,Repartir la corriente a varios amplificadores desde una sola línea principal,Entrada,Calibre 1 a 4,Salida,Calibre 4 a 8,,,,,,,,,,,,,,
Accesorios,DBLOCK,memphis-dblock,Bloque distribuidor de corriente DBLOCK,Memphis,Bloque distribuidor para repartir corriente entre varios amplificadores,300,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,distribuidor,,Aplicación,Sistemas con dos o más amplificadores desde un solo cable de batería,Función,Reparte la línea principal de corriente hacia varios amplificadores,Línea,Memphis Connection,,,,,,,,,,,,,,
Accesorios,ETP-1.5,memphis-etp-1-5,Cable RCA de 2 canales ETP de 1.5 pies ETP-1.5,Memphis,Cable de interconexión RCA de 2 canales y 1.5 pies con par trenzado,150,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,1.5,Canales,2 canales,Construcción,Par trenzado para rechazo de ruido,Conectores,Extremos moldeados con código de color por canal,Forro,PVC flexible M-Flex para instalación fácil,Línea,"Memphis Connection ETP, grado de desempeño",,,,,,,,,,
Accesorios,ETP-17,memphis-etp-17,Cable RCA de 2 canales ETP de 17 pies ETP-17,Memphis,Cable de interconexión RCA de 2 canales y 17 pies con par trenzado,270,,disponible,,FALSO,VERDADERO,,,,,,,,,,,,,,,,,,,,,,,,,cable-rca,17,Canales,2 canales,Construcción,Par trenzado para rechazo de ruido,Conectores,Extremos moldeados con código de color por canal,Forro,PVC flexible M-Flex para instalación fácil,Línea,"Memphis Connection ETP, grado de desempeño",,,,,,,,,,
